adduser	3.152
libklibc:arm64	2.0.14-1
libkmod2:arm64	34.2-2
libkrb5-3:arm64	1.21.3-5+deb13u1
libkrb5support0:arm64	1.21.3-5+deb13u1
liblastlog2-2:arm64	2.41-5
libldap2:arm64	2.6.10+dfsg-1
libllvm19:arm64	1:19.1.7-3+b1
liblmdb0:arm64	0.9.31-1+b2
liblsan0:arm64	14.2.0-19
liblz4-1:arm64	1.10.0-4
liblzma5:arm64	5.8.1-1+deb13u1
libmagic-mgc	1:5.46-5
libmagic1t64:arm64	1:5.46-5
libmaxminddb0:arm64	1.12.2-1
libmd0:arm64	1.1.0-2+b1
libmnl0:arm64	1.0.5-3
libmount1:arm64	2.41-5
libmpc3:arm64	1.3.1-1+b3
libmpfr6:arm64	4.2.2-1
libncursesw6:arm64	6.5+20250216-2
libnetfilter-conntrack3:arm64	1.1.0-1
libnetplan1:arm64	1.1.2-7
libnettle8t64:arm64	3.10.1-1
libnewt0.52:arm64	0.52.25-1
libnfnetlink0:arm64	1.0.2-3
libnftnl11:arm64	1.2.9-1
libnghttp2-14:arm64	1.64.0-1.1+deb13u1
libnghttp3-9:arm64	1.8.0-1
libngtcp2-16:arm64	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:arm64	1.11.0-1+deb13u1
libnss-myhostname:arm64	257.13-1~deb13u1
libnss-resolve:arm64	257.13-1~deb13u1
libnuma1:arm64	2.0.19-1
libobjc-14-dev:arm64	14.2.0-19
libobjc4:arm64	14.2.0-19
libp11-kit0:arm64	0.25.5-3
libpam-modules:arm64	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam-systemd:arm64	257.13-1~deb13u1
libpam0g:arm64	1.7.0-5
libpcap0.8t64:arm64	1.10.5-2
libpci3:arm64	1:3.13.0-2
libpcre2-8-0:arm64	10.46-1~deb13u1
libperl5.40:arm64	5.40.1-6
libpipeline1:arm64	1.5.8-1
libpkgconf3:arm64	1.8.1-4
libpng16-16t64:arm64	1.6.48-1+deb13u5
libpolkit-agent-1-0:arm64	126-2
libpolkit-gobject-1-0:arm64	126-2
libpopt0:arm64	1.19+dfsg-2
libproc2-0:arm64	2:4.0.4-9
libprotobuf-c1:arm64	1.5.1-1
libprotobuf32t64:arm64	3.21.12-11+deb13u1
libprotoc32t64:arm64	3.21.12-11+deb13u1
libpsl5t64:arm64	0.21.2-1.1+b1
libpython3-stdlib:arm64	3.13.5-1
libpython3.13-minimal:arm64	3.13.5-2+deb13u4
libpython3.13-stdlib:arm64	3.13.5-2+deb13u4
libreadline8t64:arm64	8.2-6
librhash1:arm64	1.4.5-1
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2+b5
libsasl2-2:arm64	2.1.28+dfsg1-9
libsasl2-modules-db:arm64	2.1.28+dfsg1-9
libseccomp2:arm64	2.6.0-2
libselinux1:arm64	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2:arm64	3.8.1-1
libsepol2:arm64	3.8.1-1
libsframe1:arm64	2.44-3
libslang2:arm64	2.3.3-5+b2
libsmartcols1:arm64	2.41-5
libsodium23:arm64	1.0.18-1+deb13u1
libsqlite3-0:arm64	3.46.1-7+deb13u1
libss2:arm64	1.47.2-3+b11
libssh2-1t64:arm64	1.11.1-1+deb13u1
libssl3t64:arm64	3.5.6-1~deb13u2
libstdc++-14-dev:arm64	14.2.0-19
libstdc++6:arm64	14.2.0-19
libsystemd-shared:arm64	257.13-1~deb13u1
libsystemd0:arm64	257.13-1~deb13u1
libtasn1-6:arm64	4.20.0-2+deb13u1
libtext-charwidth-perl:arm64	0.04-11+b4
libtext-wrapi18n-perl	0.06-10
libtinfo6:arm64	6.5+20250216-2
libtirpc-common	1.3.6+ds-1
libtirpc3t64:arm64	1.3.6+ds-1
libtsan2:arm64	14.2.0-19
libubsan1:arm64	14.2.0-19
libuchardet0:arm64	0.0.8-1+b2
libudev1:arm64	257.13-1~deb13u1
libunistring5:arm64	1.3-2
liburcu8t64:arm64	0.15.2-2
liburing2:arm64	2.9-1
libuuid1:arm64	2.41-5
libuv1t64:arm64	1.50.0-2
libwrap0:arm64	7.6.q-36
libwtmpdb0:arm64	0.73.0-3+deb13u1
libxml2:arm64	2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxtables12:arm64	1.8.11-2
libxxhash0:arm64	0.8.3-2
libyaml-0-2:arm64	0.2.5-2
libz3-4:arm64	4.13.3-1
libzstd1:arm64	1.5.7+dfsg-1
linux-base	4.12.1
linux-image-6.12.95+deb13-cloud-arm64	6.12.95-1
linux-image-cloud-arm64	6.12.95-1
linux-libc-dev	6.12.107-1
linux-sysctl-defaults	4.12.1
llvm-19-linker-tools	1:19.1.7-3+b1
locales	2.41-12+deb13u3
login	1:4.16.0-2+really2.41-5
login.defs	1:4.17.4-2
logsave	1.47.2-3+b11
lsb-release	12.1-1
make	4.4.1-2
